campaign_id,campaign_name,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas
548299.0,New User Discount,Premium,App,3130.0,163.0,78.0,1431.85,4777.75,3.6
390914.0,Weekend Special,Inactive,App,3925.0,494.0,45.0,4506.34,6238.11,2.98
834385.0,Festival Offer,Inactive,Email,7012.0,370.0,78.0,4524.23,2621.0,2.95
241523.0,Flash Sale,Inactive,SMS,1115.0,579.0,86.0,3622.79,2955.0,2.84
595111.0,Membership Drive,New Users,Email,7172.0,795.0,54.0,2888.99,8951.81,2.22
176344.0,Category Promotion,Inactive,App,4333.0,421.0,40.0,2714.78,6697.88,3.89
875646.0,App Push Notification,Premium,Email,4752.0,937.0,21.0,3584.76,9152.99,2.14
5516.0,Email Campaign,Premium,Social Media,1559.0,418.0,68.0,1457.88,2156.09,3.92
989534.0,Referral Program,New Users,SMS,3838.0,911.0,45.0,4808.64,8074.17,1.7
243346.0,New User Discount,Inactive,SMS,6289.0,834.0,14.0,3746.35,4474.02,2.56
775791.0,Weekend Special,Inactive,App,1068.0,496.0,87.0,1043.7,9535.85,3.15
178345.0,Festival Offer,Inactive,Social Media,4229.0,914.0,84.0,1370.63,3521.16,1.65
60966.0,Flash Sale,Inactive,App,2712.0,161.0,89.0,4870.23,2626.78,2.03
209071.0,Membership Drive,New Users,Social Media,9365.0,753.0,53.0,3817.01,7072.56,1.55
712164.0,Category Promotion,All,App,4813.0,321.0,88.0,2512.51,6494.09,2.55
301304.0,App Push Notification,Inactive,Social Media,8840.0,466.0,24.0,1776.92,5356.59,3.17
755362.0,Email Campaign,Inactive,App,7409.0,949.0,99.0,1599.21,7907.75,1.93
362255.0,Referral Program,Premium,SMS,1997.0,599.0,92.0,3328.47,2278.39,3.09
538453.0,New User Discount,New Users,Social Media,9594.0,692.0,58.0,3712.46,2591.79,3.01
146888.0,Weekend Special,New Users,Email,8974.0,799.0,64.0,4907.38,9623.97,2.36
36202.0,Festival Offer,New Users,Email,7102.0,858.0,53.0,1454.23,8523.27,2.87
232494.0,Flash Sale,All,Social Media,9487.0,109.0,54.0,1364.19,5855.87,1.61
757108.0,Membership Drive,Inactive,Email,5922.0,258.0,41.0,1815.23,9798.33,2.73
294530.0,Category Promotion,All,App,4630.0,860.0,76.0,4337.91,3326.76,1.86
627085.0,App Push Notification,All,Email,6291.0,130.0,66.0,4644.01,2649.48,3.23
954798.0,Email Campaign,All,Email,6347.0,737.0,100.0,2352.91,5816.29,3.0
675313.0,Referral Program,New Users,Email,2465.0,560.0,60.0,4857.36,2528.08,1.62
588949.0,New User Discount,Premium,App,7171.0,211.0,22.0,3120.88,8989.36,3.51
137874.0,Weekend Special,All,App,6082.0,497.0,59.0,1897.04,3654.1,1.95
674904.0,Festival Offer,New Users,Social Media,3297.0,613.0,19.0,3819.45,2007.51,3.75
783220.0,Flash Sale,Inactive,App,5550.0,633.0,12.0,1947.14,3460.9,2.75
877083.0,Membership Drive,Premium,SMS,3446.0,155.0,51.0,3415.84,8018.45,3.18
228966.0,Category Promotion,Premium,SMS,8998.0,632.0,55.0,4905.7,8801.61,3.79
531307.0,App Push Notification,All,App,7562.0,975.0,73.0,2298.76,7097.94,1.8
51098.0,Email Campaign,New Users,SMS,1423.0,802.0,40.0,1818.73,4672.26,3.83
501568.0,Referral Program,Premium,Email,7215.0,508.0,25.0,2202.62,3845.1,1.84
703072.0,New User Discount,All,App,4360.0,724.0,38.0,1905.02,4231.84,3.01
978279.0,Weekend Special,All,Email,9713.0,686.0,94.0,2062.29,9160.3,3.06
350042.0,Festival Offer,All,Email,5538.0,362.0,51.0,2486.88,9687.96,2.2
675128.0,Flash Sale,New Users,App,8141.0,828.0,37.0,4123.86,3539.73,2.47
439725.0,Membership Drive,Inactive,SMS,4249.0,945.0,87.0,1330.62,3115.55,3.59
39545.0,Category Promotion,All,SMS,1489.0,317.0,95.0,2527.82,9966.89,3.03
473315.0,App Push Notification,New Users,Email,5817.0,987.0,53.0,4371.4,5119.87,2.07
789925.0,Email Campaign,Inactive,Email,9893.0,751.0,88.0,3569.0,6649.77,2.23
249657.0,Referral Program,All,Email,6898.0,977.0,15.0,4874.26,3343.94,2.82
795261.0,New User Discount,New Users,Email,7876.0,977.0,73.0,1813.53,6438.12,3.73
601445.0,Weekend Special,Inactive,SMS,5624.0,386.0,70.0,3572.92,5202.67,1.96
830587.0,Festival Offer,Inactive,App,1081.0,662.0,47.0,2001.9,3301.92,3.52
706750.0,Flash Sale,Premium,App,4511.0,338.0,27.0,1645.66,2073.23,2.57
584256.0,Membership Drive,Inactive,SMS,1810.0,750.0,44.0,1279.23,5722.42,2.73
886076.0,Category Promotion,Premium,SMS,3930.0,591.0,25.0,4678.74,5102.75,1.78
855895.0,App Push Notification,Premium,Email,8796.0,873.0,86.0,2339.85,3999.7,2.98
514715.0,Email Campaign,New Users,App,2341.0,369.0,38.0,2721.86,2480.73,3.48
741376.0,Referral Program,Premium,Email,9694.0,799.0,32.0,3162.72,8424.83,2.48
347837.0,New User Discount,All,Email,8433.0,551.0,97.0,2510.51,7701.36,3.8
358482.0,Weekend Special,New Users,App,4788.0,628.0,76.0,2603.2,2979.58,3.95
