order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
1961864118.0,63230.0,2024-07-17 08:52:01,2024-07-17 08:47:01,-5.0,0.96,On Time,
1549769649.0,14983.0,2024-05-28 13:25:29,2024-05-28 13:27:29,2.0,0.98,On Time,Traffic
9185164487.0,39859.0,2024-09-23 13:25:12,2024-09-23 13:29:12,4.0,3.83,On Time,Traffic
9644738826.0,61497.0,2023-11-24 16:34:56,2023-11-24 16:33:56,-1.0,2.76,On Time,
5427684290.0,84315.0,2023-11-20 05:17:39,2023-11-20 05:18:39,1.0,2.63,On Time,Traffic
3265154092.0,554.0,2023-03-18 16:49:51,2023-03-18 16:48:51,-1.0,1.94,On Time,
4898355547.0,14630.0,2023-04-16 19:01:37,2023-04-16 19:02:37,1.0,2.2,On Time,Traffic
6568151549.0,67714.0,2024-03-31 06:37:48,2024-03-31 06:39:48,2.0,1.3,On Time,Traffic
6006693867.0,91362.0,2023-07-14 00:02:36,2023-07-14 00:05:36,3.0,3.38,On Time,Traffic
374186990.0,77203.0,2023-08-09 01:37:30,2023-08-09 01:44:30,7.0,1.47,Slightly Delayed,Traffic
4455336265.0,64046.0,2023-08-30 19:47:06,2023-08-30 19:45:06,-2.0,0.76,On Time,
3539286337.0,94899.0,2023-04-25 20:44:24,2023-04-25 20:39:24,-5.0,3.68,On Time,
9171116867.0,73907.0,2023-10-22 11:25:33,2023-10-22 11:37:33,12.0,2.23,Slightly Delayed,Traffic
5504941865.0,56077.0,2024-01-28 02:55:11,2024-01-28 03:06:11,11.0,4.45,Slightly Delayed,Traffic
5868326481.0,94140.0,2024-03-15 21:24:07,2024-03-15 21:21:07,-3.0,2.8,On Time,
2137046916.0,12377.0,2024-02-03 09:03:32,2024-02-03 09:01:32,-2.0,1.78,On Time,
8195544338.0,102.0,2023-04-26 04:20:57,2023-04-26 04:28:57,8.0,1.16,Slightly Delayed,Traffic
2889700050.0,45032.0,2024-04-30 16:33:26,2024-04-30 16:36:26,3.0,3.07,On Time,Traffic
65827885.0,1108.0,2023-07-27 00:25:05,2023-07-27 00:20:05,-5.0,1.65,On Time,
4656471694.0,62782.0,2023-12-09 08:27:08,2023-12-09 08:35:08,8.0,3.7,Slightly Delayed,Traffic
